Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
migrant,The Washington Post,Chico Harlan,E.U. proposes immigration deal that would require countries to take a share of asylum-seekers or assist in deportations,https://www.washingtonpost.com/world/europe/eu-proposes-immigration-deal-that-would-require-countries-to-take-a-share-of-asylum-seekers-or-assist-in-deportations/2020/09/23/2b126ef4-fd0c-11ea-b0e4-350e4e60cc91_story.html,"Now, with flows down more than tenfold from that peak, the continent is trying to at last help frontline Mediterranean countries like Greece and Italy, which have carried a disproportionate burden un… [+4584 chars]",2020-09-23T14:22:27Z,0.296,0.0,0.121,0.879
migrant,The Washington Post,"Steve Hendrix, Nader Durgham","Fleeing chaos and hardship, Lebanese have begun braving perilous seas",https://www.washingtonpost.com/world/middle_east/lebanon-crisis-migrants-refugees/2020/09/25/246295fc-fe4c-11ea-b0e4-350e4e60cc91_story.html,"But as newcomers to this black-market transport, the Lebanese have encountered a grisly learning curve. Some boats have become lost or caught in storms, requiring rescues at sea. Frantic families hav… [+6936 chars]",2020-09-26T12:00:00Z,-0.7184,0.429,0.0,0.571
migrant,The Washington Post,Amanda Coletta,"Canada celebrates Thanksgiving amid coronavirus second wave, mixed messages",https://www.washingtonpost.com/world/the_americas/canada-thanksgiving-coronavirus-trudeau/2020/10/09/59fc6c46-04d8-11eb-8879-7663b816bfa5_story.html,"Its completely canceled, said Robert, who lives in Vankleek Hill, Ontario, roughly 60 miles from Ottawa. Theres always next year.
Canadian Thanksgiving comes earlier than the American version famili… [+7316 chars]",2020-10-11T10:00:00Z,0.5719,0.0,0.316,0.684
migrant,The Washington Post,Reis Thebault,Families of coronavirus victims are organizing online to push politicians for more strict health measures,https://www.washingtonpost.com/nation/2020/10/10/coronavirus-victims-online-activism/,"Kristin Urquiza called it an honest obituary. Her dad was dead, and she knew whom to blame. Americas leaders bungled their response to the coronavirus pandemic, she wrote, and they let covid-19 kill … [+16744 chars]",2020-10-10T18:08:44Z,-0.3182,0.141,0.0,0.859
migrant,Politico,"By Melanie Zanona, Sarah Ferris and John Bresnahan",‘The hits just keep coming’: Congress stumbles from crisis to crisis,https://www.politico.com/news/2020/09/23/the-curse-of-the-116th-congress-420737,"The hits just keep coming, said Sen. John Cornyn (R-Texas), who said trying to follow the frenetic news cycles has been like drinking out of a water hose.
Just when you think you have it figured out… [+5733 chars]",2020-09-23T22:57:24Z,-0.8481,0.477,0.0,0.523
migrant,Politico,By Rebecca Rainey,Senate sidetracked by Covid-19 cases,https://www.politico.com/newsletters/weekly-shift/2020/10/05/senate-sidetracked-by-covid-19-cases-790809,"Editors Note: Weekly Shift is a weekly version of POLITICO Pros daily Employment &amp; Immigration policy newsletter, Morning Shift. POLITICO Pro is a policy intelligence platform that combines the n… [+10203 chars]",2020-10-05T14:00:10Z,0.0,0.0,0.0,1.0
migrant,The Wall Street Journal,"Natalie Andrews, Michelle Hackman",U.S. Opens Investigation Into Claims of Forced Hysterectomies on Detained Migrants - The Wall Street Journal,https://www.wsj.com/articles/lawmakers-seek-investigation-into-allegations-of-mass-hysterectomies-on-detained-migrants-11600291610,WASHINGTONThe Department of Homeland Securitys internal watchdog has opened an investigation into a whistleblowers allegations of coerced hysterectomies being performed on migrant women held at a Geo… [+147 chars],2020-09-16T23:23:00Z,-0.6908,0.305,0.0,0.695
migrant,The Wall Street Journal,"Michelle Hackman, Alicia Caldwell",Illegal Border Crossings On Rise...,https://www.wsj.com/articles/border-arrests-drop-this-year-after-migrant-surge-11602697201,"WASHINGTONThe number of migrants caught crossing the U.S.-Mexican border illegally rose for the fifth straight month in September, after the Trump administration earlier this year launched a pandemic… [+4315 chars]",2020-10-14T21:22:37Z,-0.5574,0.474,0.0,0.526
migrant,USA Today,"USA TODAY, Jeanine Santucci, USA TODAY",'They say I'm complicit': Former friend of Melania Trump releases profanity-laced audio of discussions about her legacy,https://www.usatoday.com/story/news/politics/2020/10/01/melania-trump-said-she-upset-criticism-recordings-wolkoff/5890131002/,"First lady Melania Trump portrayed her husband as an authentic, uncompromising leader in a Rose Garden address Tuesday night. She also called on Americans to unify in the midst of a global pandemic a… [+4442 chars]",2020-10-02T03:30:02Z,0.4939,0.0,0.167,0.833
migrant,USA Today,"USA TODAY, Sara M Moniuszko, Bryan Adamson, Jeanine Santucci and Erin Jensen, USA TODAY",Everything to know about the Melania Trump secret recordings,https://www.usatoday.com/story/entertainment/celebrities/2020/10/02/melania-tapes-everything-know-first-lady-audio-recording/5894205002/,"First lady Melania Trump wore a bright green dress on the final night of the RNC, and critics had a field day superimposing images on it.
Associated Press
In newly revealed secretly recorded conver… [+5437 chars]",2020-10-02T16:45:37Z,0.0,0.0,0.0,1.0
migrant,USA Today,"USA TODAY, Jessica Flores and Joshua Bote, USA TODAY",Coronavirus updates: Massive airline layoffs could begin today; Mississippi ends mask mandate in most places; India reports 86K new cases,https://www.usatoday.com/story/news/health/2020/10/01/covid-news-american-united-layoffs-mississippi-cdc-india/5871929002/,"Here are three ways consumers can help support small businesses who are struggling financially during the coronavirus pandemic.
Wochit
Airline layoffs could begin Thursday with American and United … [+7608 chars]",2020-10-01T10:59:02Z,0.0,0.0,0.0,1.0
migrant,USA Today,"USA TODAY, Lorenzo Reyes, USA TODAY","While Hispanic NFL fan base spirals, representation on the field among players, coaches still lagging",https://www.usatoday.com/story/sports/nfl/2020/10/14/hispanic-nfl-fandom-spirals-number-coaches-players-lagging/5872579002/,"SportsPulse: As the Titans still deal with their COVID-19 outbreak and the Patriots come to grips with multiple positive test, Mike Jones explains how the virus' incubation period is showing cracks i… [+14380 chars]",2020-10-14T10:31:05Z,0.0516,0.121,0.132,0.747
