Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
refugee,Politico,"Jeremy B. White, Debra Kahn and Alexander Nieves",7 reasons Gavin Newsom has the worst job in politics,https://www.politico.com/news/2020/09/23/gavin-newsom-california-wildfires-coronavirus-420044,"Despite all the wealth generated by Silicon Valley, Hollywood and massive agriculture and energy industries, California fares terribly on some basic measures of prosperity. 
Soaring poverty and home… [+1761 chars]",2020-09-23T08:30:30Z,-0.6249,0.339,0.0,0.661
refugee,Politico,By Gary Fineout,How Barbara Lagoa’s fight for Elian Gonzalez shaped her legal career,https://www.politico.com/news/2020/09/25/how-barbara-lagoas-fight-for-elian-gonzalez-shaped-her-legal-career-421539,"But for Lagoa, a judge on the 11th Circuit Court of Appeals who is now among the topcandidates President Donald Trump is considering for the U.S. Supreme Court, the episode became an early cornerston… [+5944 chars]",2020-09-25T08:30:23Z,-0.2732,0.198,0.115,0.687
refugee,Politico,David Siders,"‘It’s a big, big swing’: Trump loses ground with white voters",https://www.politico.com/news/2020/09/21/trump-white-voters-support-418420,"Its the same story in Wisconsin, where Trump won non-college educated white women by 16 percentage points four years ago but is now losing them by 9 percentage points, according to an ABC News/Washin… [+9746 chars]",2020-09-21T08:30:37Z,-0.3182,0.204,0.0,0.796
refugee,Politico,David Siders,Trump’s last rally: A catalog of worst pandemic practices,https://www.politico.com/news/2020/10/04/duluth-is-still-recovering-from-trumps-visit-426119,"The rally was a story of worst practices in a pandemic, with Duluth as the collateral damage. Before Trumps hospitalization and wall-to-wall coverage of his evolving condition, it was in Duluth that … [+6600 chars]",2020-10-05T00:25:45Z,-0.6249,0.369,0.0,0.631
refugee,Politico,By Anna Palmer and Jake Sherman,POLITICO Playbook: President Trump and Melania have Covid-19. What now?,https://www.politico.com/newsletters/playbook/2020/10/02/president-trump-and-melania-have-covid-19-what-now-490505,"Presented by Facebook
President Donald Trump and first lady Melania Trump will remain at home after being diagnosed with Covid-19. | Drew Angerer/Getty Images
DRIVING THE DAY
PRESIDENT DONALD TRUM… [+19287 chars]",2020-10-02T10:16:43Z,0.0,0.0,0.0,1.0
refugee,Politico,Nahal Toosi,The Trump foreign policies Biden might keep,https://www.politico.com/news/2020/09/21/trump-biden-foreign-policy-419130,"For the United States to be a trusted and credible international partner, we have to have greater consistency in our approach. We dont, and we havent for quite some time, said Heather Conley, an anal… [+13460 chars]",2020-09-21T08:30:38Z,0.0,0.0,0.0,1.0
refugee,Politico,By Anna Palmer and Jake Sherman,‘Will you please like me?’,https://www.politico.com/newsletters/playbook/2020/10/14/will-you-please-like-me-490596,"Presented by Facebook
DRIVING THE DAY
WITH 20 DAYS until Election Day, it seems like someone might be reading polls QUOTE OF THE DAY: President DONALD TRUMP, Tuesday night in Johnstown, Pa.: So can… [+18886 chars]",2020-10-14T10:19:04Z,0.5859,0.0,0.615,0.385
refugee,Politico,By Rebecca Rainey and Eleanor Mueller,Senate to vote on another aid package next week,https://www.politico.com/newsletters/weekly-shift/2020/10/14/senate-to-vote-on-another-aid-package-next-week-790974,"Editors Note: Weekly Shift is a weekly version of POLITICO Pros daily Employment &amp; Immigration policy newsletter, Morning Shift. POLITICO Pro is a policy intelligence platform that combines the n… [+11058 chars]",2020-10-14T14:00:59Z,0.0,0.0,0.0,1.0
refugee,Politico,By Rebecca Rainey,RBG’s legacy,https://www.politico.com/newsletters/weekly-shift/2020/09/21/rbgs-legacy-790510,"Editors Note: Weekly Shift is a weekly version of POLITICO Pros daily Employment &amp; Immigration policy newsletter, Morning Shift. POLITICO Pro is a policy intelligence platform that combines the n… [+12828 chars]",2020-09-21T14:00:55Z,0.0,0.0,0.0,1.0
refugee,USA Today,"USA TODAY, San Twin, Opinion contributor",COVID-19 ravaged meat plants: My refugee mother's life is worth more than the bottom line,https://www.usatoday.com/story/opinion/voices/2020/10/01/meat-packing-plants-coronavirus-covid-19-death-column/3586030001/,"My mother came to the United States pursuing the American dream. She died of coronavirus having never met her new grandson and attached to a ventilator.
Meat packing company JBS helped take away wha… [+6383 chars]",2020-10-01T09:00:18Z,0.2263,0.0,0.119,0.881
refugee,USA Today,"USA TODAY, Kim Hjelmgaard, USA TODAY",Trump administration tightens H-1B visa restrictions for foreign workers,https://www.usatoday.com/story/news/2020/10/07/trump-tightens-h-1-b-visa-restrictions-foreign-workers/5906966002/,President Donald Trump signs an executive order to try to bring jobs back to American workers and revamp the H-1B visa guest worker program during a visit to the headquarters of tool manufacturer Sna… [+2329 chars],2020-10-07T11:59:43Z,0.0,0.0,0.0,1.0
refugee,USA Today,"USA TODAY, Lindsay Schnell, USA TODAY",'Like smoking multiple packs a day': Hazardous air quality worries West Coast parents,https://www.usatoday.com/in-depth/news/nation/2020/09/20/california-oregon-wildfires-hazardous-air-quality-fire-smoke-kids-health/3488945001/,"El Dorado Forest Fire rages in San Bernardino County
Winds increased activity of the El Dorado Fire on September 9, San Bernardino firefighters said, as crews made a hard stance to save numerous hom… [+10820 chars]",2020-09-20T10:01:11Z,-0.0772,0.183,0.163,0.654
refugee,USA Today,"USA TODAY, Deirdre Shesgreen, USA TODAY",Trump administration slashes refugee program amid president's campaign attacks on immigrants,https://www.usatoday.com/story/news/world/2020/10/01/trump-moves-slash-refugee-resettlement-amid-campaign-attacks/3574637001/,"Starting a new life in the United States is never easy for refugees. But doing it during a pandemic has created even more struggles, especially after the federal government cut off resettlement fundi… [+5522 chars]",2020-10-01T15:14:23Z,-0.5719,0.343,0.0,0.657
refugee,USA Today,"USA TODAY, Nicquel Terry Ellis, USA TODAY",'Stand back and stand by': Rhetoric some call racist has marked Trump's entire presidency,https://www.usatoday.com/story/news/politics/elections/2020/10/13/hate-speech-common-theme-trumps-presidency/5873238002/,"President Donald Trump and Joe Biden clashed over COVID-19, crime and election integrity during the first presidential debate.
USA TODAY
President Donald Trump has undermined Black Lives Matter pro… [+9240 chars]",2020-10-13T12:00:13Z,-0.6124,0.235,0.0,0.765
refugee,USA Today,"Arizona Republic, The Arizona Republic","Kayla Mueller, ISIS hostage killed in Syria, becomes a focus of Pence-Harris debate",https://www.usatoday.com/story/news/nation/2020/10/08/kayla-mueller-american-killed-syria-mike-pence-debate/5920770002/,"Wednesday's vice presidential debate had sharp moments, some modest interruptions and violations of the debate clock. But the dynamics between Mike Pence and Kamala Harris offered a rare return to so… [+7097 chars]",2020-10-08T10:43:42Z,-0.6705,0.29,0.0,0.71
refugee,USA Today,"USA TODAY, Andy Slavitt, Opinion columnist",Trump's COVID-19 opportunity: Stop mocking masks. Embrace them instead and save lives.,https://www.usatoday.com/story/opinion/2020/10/02/trump-positive-covid-chance-to-promote-masks-save-lives-column/5895939002/,"Many of those who dont wear masks are highly influenced by President Trump. He has the power with his actions to change the course of the disease.
Over 46,000 Americans tested positive for COVID-19 … [+3952 chars]",2020-10-02T18:01:48Z,0.5267,0.243,0.411,0.347
