Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
refugees,The Washington Post,Greg Miller,Allegations of racism have marked Trump’s presidency and become key issue as election nears,https://www.washingtonpost.com/national-security/trump-race-record/2020/09/23/332b0b68-f10f-11ea-b796-2dd09962649c_story.html,"Trumps private musings about Hispanics match the vitriol he has displayed in public, and his antipathy to Africa is so ingrained that when first lady Melania Trump planned a 2018 trip to that contine… [+30767 chars]",2020-09-23T14:29:10Z,-0.6249,0.24,0.0,0.76
refugees,The Washington Post,"Ana Vanessa Herrero, Anthony Faiola, Shane Harris","Venezuela says it has captured American 'mercenary' plotting to blow up power plants, oil refineries",https://www.washingtonpost.com/world/the_americas/venezuela-maduro-american-mercenary-captured/2020/09/14/1a92bfdc-f5de-11ea-89e3-4b9efa36dc64_story.html,"CARACAS, Venezuela Venezuelas authoritarian government claimed Monday it had dismantled a covert operation to blow up power plants and oil facilities to destabilize the socialist state, saying it had… [+6036 chars]",2020-09-14T21:01:20Z,0.0,0.0,0.0,1.0
refugees,The Washington Post,"Chico Harlan, Elinda Labropoulou","After fire guts Europe's biggest migrant camp, Greece erects tents, other countries offer little",https://www.washingtonpost.com/world/europe/moria-refugee-camp-fire/2020/09/16/0d301a94-f6a4-11ea-85f7-5941188a98cd_story.html,"The new camp sits on a converted military practice range. It consists of hundreds of white tents, arranged in rows in the dirt. People moving in must submit to an immediate coronavirus lockdown.
You… [+5702 chars]",2020-09-16T19:22:24Z,-0.34,0.156,0.0,0.844
refugees,The Washington Post,Anthony Faiola,U.S. criticism of European mission to Venezuela shows growing divide over Maduro,https://www.washingtonpost.com/world/the_americas/venezuela-maduro-guaido-us-eu/2020/09/27/d13be724-00ea-11eb-897d-3a6201d6643f_story.html,"This will make relations with the E.U. bureaucracy more difficult, Elliott Abrams, the U.S. special representative on Venezuela, told The Washington Post Sunday.
Brussels on Friday confirmed an E.U.… [+4988 chars]",2020-09-27T22:32:52Z,-0.296,0.199,0.116,0.685
refugees,The Washington Post,Amanda Coletta,Canada to bring 5-year-old orphan home from Syrian camp; others remain stranded,https://www.washingtonpost.com/world/the_americas/canada-amira-syria-orphan-repatriated/2020/10/05/bafe08ea-0723-11eb-859b-f9c27abe638d_story.html,"There are no other operations of the sort ongoing, Trudeau told reporters Monday in Ottawa. He said Amiras case was exceptional because she was orphaned.
The girl was found last year walking alone o… [+4778 chars]",2020-10-05T20:45:26Z,0.0,0.0,0.0,1.0
refugees,The Washington Post,Elizabeth Dwoskin,"TikTok videos, Facebook Trump ads spread misinformation concerning Biden’s health",https://www.washingtonpost.com/technology/2020/09/30/biden-misinformation-earpiece-tiktok-facebook/,"And on the video platform TikTok, four grainy videos alleging that Biden was wearing a wire to cheat during the debate racked up more than half a million combined views on Wednesday, according to res… [+2796 chars]",2020-09-30T23:34:27Z,-0.3182,0.204,0.0,0.796
refugees,The Washington Post,Anthony Faiola,U.N. investigators accuse Venezuelan government of 'crimes against humanity',https://www.washingtonpost.com/world/the_americas/venezuela-maduro-united-nations-crimes-humanity/2020/09/16/21f148ee-f826-11ea-89e3-4b9efa36dc64_story.html,"Venezuelan President Nicolás Maduro and members of his inner circle gave orders, coordinated activities and supplied resources for arbitrary detentions, torture, disappearances and extrajudicial kill… [+6591 chars]",2020-09-16T20:18:58Z,-0.2023,0.184,0.0,0.816
refugees,The Washington Post,Adam Taylor,Democracies are backsliding amid the coronavirus pandemic,https://www.washingtonpost.com/world/2020/10/02/democracy-coronavirus-freedom-house/,"At the same time, the virus has thrown up obstacles to voting in person and other forms of political participation that might fight these problems. Elected officials who are willing to lean into dema… [+6391 chars]",2020-10-02T04:00:00Z,0.0,0.0,0.0,1.0
refugees,The Washington Post,"Mariana Zúñiga, Anthony Faiola",Venezuela's broken oil industry is spewing crude into the Caribbean Sea,https://www.washingtonpost.com/world/the_americas/venezuela-oil-spills/2020/09/23/5613c996-f793-11ea-a275-1a2c2d36e1f1_story.html,"Venezuelas once powerful oil industry is literally falling apart, with years of mismanagement, corruption, falling prices and a U.S. embargo imposed last year bringing aging infrastructure to the bri… [+7404 chars]",2020-09-24T10:00:00Z,-0.7783,0.43,0.0,0.57
refugees,The Washington Post,Claire Parker,Economic fallout from coronavirus leads to surge in Tunisians leaving for Europe,https://www.washingtonpost.com/world/middle-east/coronavirus-tunisia-migrants-italy/2020/09/23/ad4c37cc-fc0f-11ea-b0e4-350e4e60cc91_story.html,"During the first eight months of this year, nearly 8,000 Tunisians crossed the Mediterranean to Italy, six times as many as last year, according to the Office of the U.N. High Commissioner for Refuge… [+8078 chars]",2020-09-24T10:00:00Z,0.0,0.0,0.0,1.0
