Keyword,Source,Author,Title,URL,Text,Published
immigrants,USA Today,"USA TODAY, Joey Garrison, USA TODAY",'Next generation of poll workers': Young people are stepping up during the pandemic. It might avert a crisis,https://www.usatoday.com/story/news/politics/elections/2020/09/24/election-2020-teens-step-up-poll-workers-during-pandemic/3480630001/,"The battleground state of Minnesota has begun voting in the presidential election. Polling stations opened in every county Friday morning and officials began mailing out absentee ballots. (Sept. 18)… [+15581 chars]",2020-09-24T08:00:02Z
immigrants,USA Today,"USA TODAY, Shefali Luthra, The 19th","'I'm beyond terrified': For home care workers, COVID-19 is a health crisis and economic one",https://www.usatoday.com/story/news/politics/2020/09/14/home-care-workers-covid-19-health-crisis-and-economic-one/5729328002/,"This story was published in partnership with The 19th, a nonprofit, nonpartisan newsroom reporting on gender, politics and policy. 
When COVID-19 came to New Orleans, Nicole Alston felt the impact i… [+10620 chars]",2020-09-14T11:39:59Z
immigrants,USA Today,"Arizona Republic, Richard Ruelas and Rob O'Dell, Arizona Republic",How William Cooper and his book 'Behold a Pale Horse' planted seeds of QAnon conspiracy theory,https://www.usatoday.com/in-depth/news/nation/2020/10/09/behold-pale-horse-how-william-cooper-planted-seeds-qanon-theory/5916328002/,"EAGAR, Ariz. — When authorities killed William Cooper in a burst of gunfire outside his hilltop home in eastern Arizona, he was an author and radio host who had attracted a rabid following among UFO … [+29209 chars]",2020-10-09T10:02:46Z
immigrants,USA Today,"USA TODAY, Deborah Barfield Berry and Kameel Stanley, USA TODAY","In New Jersey's most segregated county, racism and coronavirus made a 'vicious circle'",https://www.usatoday.com/in-depth/news/nation/2020/10/12/covid-segregation-killing-black-americans-new-jersey/5798587002/,"EAST ORANGE, N.J. Angenetta Robinson shut her door, sat at the edge of her queen bed and stuck the thermometer under her tongue. It climbed to 99. Two hours later, it read 101, then 103. She last rem… [+31186 chars]",2020-10-12T23:46:46Z
immigrants,USA Today,"USA TODAY, Rebecca Morin, Ledyard King and Alan Gomez, USA TODAY","Biden is getting trounced with Cuban American voters in Florida, a trend that could tip the state to Trump",https://www.usatoday.com/story/news/politics/elections/2020/09/15/joe-biden-lags-trump-cuban-american-voters-latinos-florida/5756126002/,"Battleground states are emerging for the White House race between US President Donald Trump and Democratic challenger Joe Biden. Both candidates are hitting the campaign trail, despite the pandemic, … [+17294 chars]",2020-09-15T08:00:11Z
immigrants,USA Today,"Detroit Free Press, Dave Boucher, Detroit Free Press","Many suburban women in Michigan have message for Trump: We want security, not chaos",https://www.usatoday.com/story/news/politics/elections/2020/09/25/michigan-women-suburbs-election-2020-trump-biden-presidency/3529853001/,The campaign to re-elect US President Donald Trump is targeting suburban voters in key battleground states where the Republican party lost support during the midterm elections two years ago. (Septemb… [+22398 chars],2020-09-25T19:39:46Z
immigrants,USA Today,Kim Hjelmgaard,These countries quietly slid into authoritarianism. Should the US be concerned under Trump?,https://www.usatoday.com/story/news/world/2020/10/07/what-authoritarian-countries-can-tell-us-democracy-and-trump/3518563001/,"Dr. Golfo Alexopoulos of the University of South Florida explains the signs that could indicate a democracy is moving towards an authoritarian regime.
USA TODAY
Analysis: Experts both sound and qui… [+20846 chars]",2020-10-07T07:00:15Z
immigrants,NBC News,Raul A. Reyes,A voice for the 'excluded' and 'oppressed': Latinos remember Justice Ruth Bader Ginsburg,https://www.nbcnews.com/news/latino/voice-excluded-oppressed-latinos-remember-justice-ruth-bader-ginsburg-n1240548,Latino civic and advocacy groups have joined in the outpouring of sympathy over the passing of Supreme Court Justice Ruth Bader Ginsburg. The pioneering jurist died at her home in Washington on Septe… [+4348 chars],2020-09-19T17:55:00Z
immigrants,NBC News,"María Peña, Noticias Telemundo",Coalition backing TPS starts tour slamming Trump's 'racist' end to immigrant protections,https://www.nbcnews.com/news/latino/coalition-backing-tps-starts-tour-slamming-trump-s-racist-end-n1240711,A coalition of groups opposed to President Donald Trump's decision to end protections for hundreds of thousands of immigrants has embarked on a national tour to put a focus on the issue and mobilize … [+3623 chars],2020-09-22T19:50:01Z
immigrants,NBC News,Variety,"""False sense of perspective"": Immigrant TV stories mainly focus on Latinos, deportation",https://www.nbcnews.com/news/latino/false-sense-perspective-immigrant-tv-stories-mainly-focus-latinos-deportation-n1240921,"As immigration policy continues to be a crucial topic in the news, a new report from Define American and the Norman Lear Center at USC Annenberg shows the television industry still has a long way to … [+5755 chars]",2020-09-24T13:41:39Z
