,Source,Title,compound score
93,Fox News,"Mackenzie Lueck’s killer pleads guilty to aggravated murder, will avoid death penalty: reports",-0.9744
1346,Breitbart News,Kamala Harris Refused Death Penalty for Illegal Alien MS-13 Gang Member Who Murdered Bologna Family,-0.9524
711,Breitbart News,"Nigerian Pleads Guilty to Murdering Mackenzie Lueck, Avoids Death Penalty",-0.9403
351,Fox News,"ICE deportation flight, objected to by Omar over COVID fears, included convicted murderer, rapist",-0.9231
996,The Washington Post,"The long, dangerous history of right-wing calls for violence and civil war",-0.9022
